2023-11-07 21:46:12 - Replacing PropertySource 'servletContextInitParams' with 'servletContextInitParams'
2023-11-07 21:46:17 - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1ed1993a: startup date [Tue Nov 07 21:46:08 SAST 2023]; root of context hierarchy
2023-11-07 21:46:17 - Looking for request mappings in application context: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1ed1993a: startup date [Tue Nov 07 21:46:08 SAST 2023]; root of context hierarchy
2023-11-07 21:46:17 - 4 request handler methods found on class com.example.controller.EmployeeRestController: {public java.util.List com.example.controller.EmployeeRestController.getAllEmployees()={[/employee],methods=[GET]}, public com.example.model.Employee com.example.controller.EmployeeRestController.getEmployeeById(long)={[/employee/{id}],methods=[GET]}, public java.lang.String com.example.controller.EmployeeRestController.index()={[/],methods=[GET]}, public com.example.model.Employee com.example.controller.EmployeeRestController.error() throws java.lang.Exception={[/error-test],methods=[GET]}}
2023-11-07 21:46:17 - Mapped "{[/employee],methods=[GET]}" onto public java.util.List<com.example.model.Employee> com.example.controller.EmployeeRestController.getAllEmployees()
2023-11-07 21:46:17 - Mapped "{[/employee/{id}],methods=[GET]}" onto public com.example.model.Employee com.example.controller.EmployeeRestController.getEmployeeById(long)
2023-11-07 21:46:17 - Mapped "{[/],methods=[GET]}" onto public java.lang.String com.example.controller.EmployeeRestController.index()
2023-11-07 21:46:17 - Mapped "{[/error-test],methods=[GET]}" onto public com.example.model.Employee com.example.controller.EmployeeRestController.error() throws java.lang.Exception
2023-11-07 21:46:17 - 0 request handler methods found on class com.example.view.EmployeeView: {}
2023-11-07 21:46:17 - 0 request handler methods found on class com.example.view.Language: {}
2023-11-07 21:46:17 - 0 request handler methods found on class com.example.view.RegistrationView: {}
2023-11-07 21:46:17 - 0 request handler methods found on class com.example.view.UserView: {}
2023-11-07 21:46:17 - 2 request handler methods found on class org.springframework.boot.autoconfigure.web.BasicErrorController: {public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)={[/error],produces=[text/html]}, public org.springframework.http.ResponseEntity org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)={[/error]}}
2023-11-07 21:46:17 - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2023-11-07 21:46:17 - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2023-11-07 21:46:17 - Looking for URL mappings in application context: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@1ed1993a: startup date [Tue Nov 07 21:46:08 SAST 2023]; root of context hierarchy
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.context.annotation.internalRequiredAnnotationProcessor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.context.annotation.internalCommonAnnotationProcessor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.context.event.internalEventListenerProcessor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.context.event.internalEventListenerFactory': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'demoApplication': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'demoApplication.ConfigureJSFContextParameters': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'configureJSF': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'securityConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'webMvcConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'employeeRestController': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'globalExceptionHandlerController': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'emailService': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'employeeService': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'userService': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'employeeView': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'language': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'registrationView': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'userView': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'facesServletRegistration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'objectPostProcessor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'authenticationManagerBuilder': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'enableGlobalAuthenticationAutowiredConfigurer': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'initializeUserDetailsBeanManagerConfigurer': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'initializeAuthenticationProviderBeanManagerConfigurer': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.security.config.annotation.web.configuration.WebSecurityConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'delegatingApplicationListener': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'webSecurityExpressionHandler': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'springSecurityFilterChain': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'privilegeEvaluator': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'autowiredWebSecurityConfigurersIgnoreParents': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'org.springframework.security.config.annotation.web.configuration.WebMvcSecurityConfiguration': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'requestDataValueProcessor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'passwordEncoder': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'localeResolver': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'localeChangeInterceptor': no URL paths identified
2023-11-07 21:46:17 - Rejected bean name 'messageSource': no URL paths identified
